"title","first_sold_out","day_diff","day_category"
"A bajnok",2018-02-15,0,"0"
"A borb<e9>ly",2018-02-18,3,"3-4"
"A Jelenkor Kiad<f3> k<f6>lt<e9>szetnapi estje",NA,Inf,">60"
"A k<e9>t Korea <fa>jraegyes<ed>t<e9>se",2018-02-18,3,"3-4"
"A kauk<e1>zusi kr<e9>tak<f6>r",2018-02-15,0,"0"
"A mi oszt<e1>lyunk",2018-02-15,0,"0"
"A nok iskol<e1>ja",2018-03-30,43,"31-60"
"A szecsu<e1>ni j<f3>l<e9>lek",2018-02-15,0,"0"
"A t<f6>k<e9>letes boldogs<e1>g vil<e1>ga",2018-02-23,8,"5-8"
"Abigail bulija",2018-02-15,0,"0"
"Aegon Muv<e9>szeti D<ed>j<e1>tad<f3> G<e1>la",NA,Inf,">60"
"Ahogy tetszik",2018-02-15,0,"0"
"Ahogyan a v<ed>z t<fc>kr<f6>zi az arcot - Az Oson<f3> Sz<ed>nh<e1>zmuhely eload<e1>sa",2018-03-30,43,"31-60"
"Ascher Tam<e1>s H<e1>romsz<e9>ken",2018-02-15,0,"0"
"B<e1>dogdob",2018-02-16,1,"1-2"
"Berlin, Alexanderplatz",NA,Inf,">60"
"Bihari",2018-03-30,43,"31-60"
"Borisz Godunov",NA,Inf,">60"
"Egy komcsi nyanya vagyok!",NA,Inf,">60"
"Egy or<fc>lt napl<f3>ja",NA,Inf,">60"
"Eln<f6>knok",2018-02-15,0,"0"
"Emilia Galotti",2018-02-15,0,"0"
"H<e1>ztuzn<e9>zo",NA,Inf,">60"
"H<f3>h<e9>rok",2018-02-23,8,"5-8"
"Holt lelkek",2018-02-15,0,"0"
"Ithaka",NA,Inf,">60"
"J<f3> k<e9>rd<e9>s - Mi a l<e1>tv<e1>ny: <f6>n<e1>ll<f3> vagy alkalmazott muv<e9>szet?",NA,Inf,">60"
"Kemping - A Szabadkai N<e9>psz<ed>nh<e1>z vend<e9>gj<e1>t<e9>ka",2018-02-16,1,"1-2"
"L<e9>legezz",2018-02-15,0,"0"
"MasterCard Jazz Brunch",NA,Inf,">60"
"Minden j<f3>, ha v<e9>ge j<f3>",NA,Inf,">60"
"Minden kombi cirk<f3>, de nem minden cirk<f3> bojler",2018-02-15,0,"0"
"Miskin herceg",2018-02-15,0,"0"
"Munkav<e9>gz<e9>s sor<e1>n nem biztons<e1>gos",2018-02-23,8,"5-8"
"N<e9>meth <c1>kos: Prostit<fa>ci<f3>",2018-02-15,0,"0"
"N<f3>ra - kar<e1>csony Helmer<e9>kn<e9>l",2018-02-23,8,"5-8"
"Nem vagyunk mi barb<e1>rok",2018-02-15,0,"0"
"Petra von Kant",2018-02-15,0,"0"
"Portug<e1>l",2018-02-15,0,"0"
"R<e9>szegek",2018-02-15,0,"0"
"Sir<e1>ly",2018-02-15,0,"0"
"Sz<e9>ljegy",2018-02-15,0,"0"
"Sz<e9>p napok",2018-02-16,1,"1-2"
"Terror",2018-02-15,0,"0"
"Top Dogs",2018-02-15,0,"0"
"Workshop gyerekeknek F<f6>ldi Andrea jelmeztervezovel",NA,Inf,">60"
