"title","location","number_of_plays"
"A bajnok","Katona",2
"A borb<e9>ly","Kossuth L. u. 18.",4
"A k<e9>t Korea <fa>jraegyes<ed>t<e9>se","Katona",2
"A kauk<e1>zusi kr<e9>tak<f6>r","Kamra",2
"A mi oszt<e1>lyunk","Kamra",2
"A nok iskol<e1>ja","Katona",1
"A szecsu<e1>ni j<f3>l<e9>lek","Katona",2
"A t<f6>k<e9>letes boldogs<e1>g vil<e1>ga","Kamra",1
"Abigail bulija","Kamra",1
"Aegon Muv<e9>szeti D<ed>j<e1>tad<f3> G<e1>la","Katona",1
"Ahogy tetszik","Kamra",2
"Ahogyan a v<ed>z t<fc>kr<f6>zi az arcot - Az Oson<f3> Sz<ed>nh<e1>zmuhely eload<e1>sa","SUFNI",1
"Ascher Tam<e1>s H<e1>romsz<e9>ken","Katona",4
"B<e1>dogdob","Kamra",2
"Berlin, Alexanderplatz","Katona",3
"Bihari","SUFNI",1
"Borisz Godunov","Katona",1
"Egy komcsi nyanya vagyok!","SUFNI",3
"Eln<f6>knok","Kamra",1
"Emilia Galotti","Kamra",1
"H<e1>ztuzn<e9>zo","Katona",3
"H<f3>h<e9>rok","Katona",1
"Holt lelkek","SUFNI",3
"Kemping - A Szabadkai N<e9>psz<ed>nh<e1>z vend<e9>gj<e1>t<e9>ka","Katona",1
"L<e9>legezz","SUFNI",7
"Minden j<f3>, ha v<e9>ge j<f3>","Katona",1
"Minden kombi cirk<f3>, de nem minden cirk<f3> bojler","Kamra",3
"Miskin herceg","SUFNI",3
"Munkav<e9>gz<e9>s sor<e1>n nem biztons<e1>gos","Kamra",4
"N<e9>meth <c1>kos: Prostit<fa>ci<f3>","SUFNI",2
"N<f3>ra - kar<e1>csony Helmer<e9>kn<e9>l","Katona",3
"Nem vagyunk mi barb<e1>rok","SUFNI",3
"Petra von Kant","SUFNI",1
"Portug<e1>l","Katona",1
"R<e9>szegek","Kamra",2
"Sir<e1>ly","Katona",1
"Sz<e9>ljegy","Kamra",7
"Sz<e9>p napok","SUFNI",1
"Terror","Kamra",3
"Top Dogs","Kamra",1
